treatment_order,city_key,grid_id,station_event_id,opening_month,status,active_families,selected_method,donor_scope,control_city_key,control_grid_id,control_unit_key,candidate_count,candidate_city_count,training_feature_count,holdout_feature_count,training_distance,holdout_rms_standardized_gap,holdout_max_abs_standardized_gap,training_distance_threshold,holdout_rms_threshold,holdout_max_abs_threshold,control_selection_uses_post_outcome,failure_reason
75,wuhan,g00160x00108,wuhan_station_9a812c111fc9,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
76,wuhan,g00160x00112,wuhan_station_0439012f75b6,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
77,wuhan,g00160x00142,wuhan_station_ebdd356d111d,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
78,wuhan,g00161x00143,wuhan_station_8ec37a97dbec,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
79,wuhan,g00162x00106,wuhan_station_8737a81690c8,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
80,wuhan,g00162x00144,wuhan_station_f013eb540a09,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
81,wuhan,g00165x00145,wuhan_station_7ecdaca111aa,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
82,wuhan,g00170x00147,wuhan_station_24e99796ec85,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
83,guangzhou,g00117x00084,guangzhou_station_f4361e33deb8,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
84,guangzhou,g00126x00087,guangzhou_station_2c9e203fabf0,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
85,guangzhou,g00128x00088,guangzhou_station_a60e1820aaf8,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
86,guangzhou,g00133x00088,guangzhou_station_46651afcbb29,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
87,guangzhou,g00134x00087,guangzhou_station_4bdc2f7c7483,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
88,guangzhou,g00137x00084,guangzhou_station_bed0463428f5,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
89,guangzhou,g00138x00083,guangzhou_station_11e35701f1c9,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
90,guangzhou,g00159x00082,guangzhou_station_ec6da1808146,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
91,guangzhou,g00161x00083,guangzhou_station_52f88a2b4548,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
92,guangzhou,g00165x00084,guangzhou_station_f56bcda34c2b,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
93,guangzhou,g00168x00085,guangzhou_station_ad3c4e428cf1,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
94,guangzhou,g00171x00085,guangzhou_station_5e9489a1aab0,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
95,guangzhou,g00173x00087,guangzhou_station_011dac379a86,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
96,chengdu,g00120x00228,chengdu_station_6d50ad1dbd76,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
97,chengdu,g00125x00228,chengdu_station_d757c31ae276,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
98,chengdu,g00128x00228,chengdu_station_2a774045f4a0,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
99,chengdu,g00133x00228,chengdu_station_8972ebc498bb,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
100,chengdu,g00137x00228,chengdu_station_66a7ecff9e6a,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
101,chengdu,g00141x00228,chengdu_station_330100081497,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
102,chengdu,g00146x00229,chengdu_station_7443814afa47,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
103,chengdu,g00153x00232,chengdu_station_b5c478316935,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
104,shenyang,g00145x00155,shenyang_station_2bc13a110055,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
105,shenyang,g00145x00157,shenyang_station_0db77497b36e,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
106,shenyang,g00145x00160,shenyang_station_001b5cd0743f,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
107,shenyang,g00145x00163,shenyang_station_6aa042e5c98d,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
108,shenyang,g00146x00166,shenyang_station_9ae80e0d74ec,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
109,shenyang,g00148x00168,shenyang_station_5b2a1f7b8e2a,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
110,shenyang,g00150x00184,shenyang_station_7c6b11c2e5d2,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
111,shenyang,g00150x00187,shenyang_station_0bfbf00dd942,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
112,shenyang,g00151x00168,shenyang_station_0ac3a5cde4a7,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
113,shenyang,g00152x00176,shenyang_station_1a1a0f05a3b0,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
114,shenyang,g00152x00180,shenyang_station_eb30e6ff70d1,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
115,shenyang,g00152x00191,shenyang_station_d7af6d822bf1,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
116,shenyang,g00153x00174,shenyang_station_6bff78181e55,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
117,shenyang,g00153x00195,shenyang_station_5c3a7f5d72c3,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
118,shenyang,g00154x00204,shenyang_station_da3071d0a684,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
