treatment_order,city_key,grid_id,station_event_id,opening_month,outcome_family,status,selected_method,failure_reason
66,nanjing,g00214x00126,nanjing_station_9abaa0a11aa2,2010-05,poi,pending,,
66,nanjing,g00214x00126,nanjing_station_9abaa0a11aa2,2010-05,population,pending,,
66,nanjing,g00214x00126,nanjing_station_9abaa0a11aa2,2010-05,viirs,pending,,
67,nanjing,g00217x00130,nanjing_station_9a4e1a5ca71e,2010-05,housing,pending,,
67,nanjing,g00217x00130,nanjing_station_9a4e1a5ca71e,2010-05,poi,pending,,
67,nanjing,g00217x00130,nanjing_station_9a4e1a5ca71e,2010-05,population,pending,,
67,nanjing,g00217x00130,nanjing_station_9a4e1a5ca71e,2010-05,viirs,pending,,
68,nanjing,g00218x00134,nanjing_station_f916d76fbc39,2010-05,housing,pending,,
68,nanjing,g00218x00134,nanjing_station_f916d76fbc39,2010-05,poi,pending,,
68,nanjing,g00218x00134,nanjing_station_f916d76fbc39,2010-05,population,pending,,
68,nanjing,g00218x00134,nanjing_station_f916d76fbc39,2010-05,viirs,pending,,
69,wuhan,g00153x00123,wuhan_station_c8d2bbd5b59b,2010-07,housing,pending,,
69,wuhan,g00153x00123,wuhan_station_c8d2bbd5b59b,2010-07,poi,pending,,
69,wuhan,g00153x00123,wuhan_station_c8d2bbd5b59b,2010-07,population,pending,,
69,wuhan,g00153x00123,wuhan_station_c8d2bbd5b59b,2010-07,viirs,pending,,
70,wuhan,g00154x00122,wuhan_station_f0b73383d5ba,2010-07,housing,pending,,
70,wuhan,g00154x00122,wuhan_station_f0b73383d5ba,2010-07,poi,pending,,
70,wuhan,g00154x00122,wuhan_station_f0b73383d5ba,2010-07,population,pending,,
70,wuhan,g00154x00122,wuhan_station_f0b73383d5ba,2010-07,viirs,pending,,
71,wuhan,g00155x00121,wuhan_station_0a76621c8bfb,2010-07,housing,pending,,
71,wuhan,g00155x00121,wuhan_station_0a76621c8bfb,2010-07,poi,pending,,
71,wuhan,g00155x00121,wuhan_station_0a76621c8bfb,2010-07,population,pending,,
71,wuhan,g00155x00121,wuhan_station_0a76621c8bfb,2010-07,viirs,pending,,
72,wuhan,g00156x00119,wuhan_station_e988457afb1f,2010-07,housing,pending,,
72,wuhan,g00156x00119,wuhan_station_e988457afb1f,2010-07,poi,pending,,
72,wuhan,g00156x00119,wuhan_station_e988457afb1f,2010-07,population,pending,,
